Ticker,Score,Close,RSI,EMA_Score,MACD_Score,OBV_Score,Pred_Breakout,Pred_Reversal,Pred_EMA_Cross,Volume_Spike,Regime,Percentile
LEU,100.0,331.1300048828125,65.0,100.0,200.0,100.0,52.53,0.0,-100.0,0.97,TREND,99.62
QUIK,100.0,8.430000305175781,69.55,100.0,169.87,100.0,50.17,0.0,-100.0,2.01,TREND,99.62
AMRX,100.0,13.399999618530272,58.97,54.99,200.0,100.0,100.0,0.0,-100.0,3.64,TREND,99.62
DTI,100.0,3.470000028610229,56.8,100.0,200.0,100.0,62.71,0.0,-100.0,1.28,TREND,99.62
STTK,100.0,4.639999866485596,45.21,26.65,200.0,100.0,100.0,0.0,-100.0,3.15,TREND,99.62
NERV,100.0,4.497000217437744,56.27,71.24,200.0,100.0,100.0,0.0,-100.0,0.93,TREND,99.62
VOR,100.0,15.75,65.38,100.0,200.0,100.0,81.46,0.0,-100.0,1.04,TREND,99.62
DGII,100.0,44.08000183105469,67.04,87.06,200.0,100.0,28.08,0.0,-100.0,2.57,TREND,99.62
SND,100.0,3.900000095367432,58.8,-2.38,200.0,100.0,100.0,0.0,-100.0,1.7,RANGE,99.62
RIOT,100.0,19.229999542236328,68.63,100.0,200.0,100.0,-100.0,0.0,-100.0,2.16,TREND,99.62
SBET,100.0,11.020000457763672,53.29,96.72,200.0,100.0,80.86,0.0,-100.0,1.01,TREND,99.62
SCWO,100.0,2.6700000762939453,60.84,38.35,200.0,100.0,100.0,0.0,-100.0,2.59,TREND,99.62
PSNY,100.0,22.43000030517578,58.91,100.0,200.0,100.0,-100.0,0.0,-100.0,4.0,TREND,99.62
TNGX,100.0,13.0,61.23,100.0,200.0,100.0,44.44,-56.16,-100.0,1.69,TREND,99.62
FLWS,100.0,4.760000228881836,66.29,100.0,200.0,79.02,-15.03,0.0,-100.0,1.55,TREND,99.62
FORM,100.0,78.33999633789062,76.89,100.0,200.0,100.0,-54.37,0.0,-100.0,1.65,TREND,99.62
TATT,100.0,52.34000015258789,56.28,0.31,200.0,100.0,100.0,0.0,100.0,1.73,TREND,99.62
TSAT,100.0,35.619998931884766,72.51,100.0,200.0,100.0,100.0,0.0,-100.0,1.59,TREND,99.62
RGLD,100.0,265.2200012207031,72.35,100.0,200.0,100.0,19.74,0.0,-100.0,2.09,TREND,99.62
SRTS,100.0,5.289999961853027,66.4,100.0,200.0,73.57,100.0,0.0,-100.0,2.77,TREND,99.62
WING,100.0,276.1600036621094,53.48,36.51,200.0,100.0,100.0,0.0,-100.0,2.71,TREND,99.62
ECX,100.0,1.914999961853028,58.97,100.0,165.77,100.0,100.0,0.0,-100.0,1.03,TREND,99.62
ACET,99.6,8.279999732971191,50.0,28.3,200.0,100.0,82.18,0.0,-100.0,2.69,RANGE,99.2
USAR,99.32,17.68000030517578,43.5,64.79,200.0,100.0,100.0,0.0,-100.0,0.74,TREND,99.16
FDIG,97.39,44.959999084472656,57.23,70.91,200.0,100.0,48.15,0.0,-100.0,0.92,TREND,99.13
KARO,95.71,46.91999816894531,63.64,39.13,200.0,100.0,44.4,0.0,-100.0,2.25,RANGE,99.09
PGEN,95.43,4.389999866485596,50.0,15.69,200.0,100.0,100.0,0.0,-100.0,1.98,TREND,99.05
KVHI,93.49,7.559999942779541,58.88,66.85,200.0,100.0,17.32,0.0,-100.0,2.13,TREND,99.02
APLD,93.32,37.39500045776367,61.2,89.08,200.0,100.0,100.0,0.0,-100.0,0.8,TREND,98.98
HUT,92.2,59.65999984741211,58.95,-1.49,200.0,100.0,96.47,0.0,-100.0,1.64,TREND,98.94
FBRX,92.0,33.53499984741211,62.23,100.0,0.0,100.0,100.0,0.0,100.0,2.72,TREND,98.91
