Ticker,Score,Percentile,Close,EMA_12,EMA_26,MACD,Signal_Line,MACD_Hist,RSI,SMA_50,SMA_200,Bollinger_Upper,Bollinger_Middle,Bollinger_Lower,VWAP,Volume,Volume_Spike,Entry_Tag,Exit_Tag,EMA_Score,MACD_Score,OBV_Score,Pred_Breakout,Pred_Reversal,Pred_EMA_Cross,Regime
LEU,100.0,99.62,331.1300048828125,320.69289965721896,315.4575418068998,5.235357850319133,3.8679452558169127,1.3674125945022202,65.00386813959511,308.27093383789065,272.247875289917,334.33271136924554,316.0662567138671,297.7998020584888,277.7004162723188,164787,0.97,,,100.0,200.0,100.0,52.53,0.0,-100.0,TREND
QUIK,100.0,99.62,8.430000305175781,8.163426353895812,7.960745514802947,0.2026808390928645,0.1713917651298731,0.0312890739629913,69.5542262631321,7.696990003585816,6.712533011436462,8.446236605751839,8.027340006828307,7.608443407904775,6.932141122345049,40516,2.01,ENTRY_LONG_BREAKOUT,,100.0,169.87,100.0,50.17,0.0,-100.0,TREND
AMRX,100.0,99.62,13.399999618530272,13.233282676621007,13.160911710518208,0.0723709661027989,0.0481296935426719,0.0242412725601287,58.97431194903951,13.114318027496338,12.673619499206543,13.38972683187853,13.185340070724488,12.980953309570443,12.624297460430324,435773,3.64,ENTRY_LONG_BREAKOUT,,54.99,200.0,100.0,100.0,0.0,-100.0,TREND
DTI,100.0,99.62,3.470000028610229,3.3617270805629413,3.2600589958559305,0.1016680847070108,0.0958635893150281,0.0058044953919826,56.80059826706096,3.0553520107269287,2.795020512342453,3.534763837168734,3.3026500225067137,3.070536207844693,2.865827946349246,46866,1.28,,,100.0,200.0,100.0,62.71,0.0,-100.0,TREND
STTK,100.0,99.62,4.639999866485596,4.575801614617776,4.563639286877149,0.0121623277406266,0.0017562065062302,0.0104061212343963,45.20547408328179,4.593308019638061,3.645952008962632,4.864691072739948,4.595230031013489,4.325768989287029,3.824015514772352,143520,3.15,ENTRY_LONG_BREAKOUT,,26.65,200.0,100.0,100.0,0.0,-100.0,TREND
NERV,100.0,99.62,4.497000217437744,4.381368423516095,4.350374430110543,0.030993993405552,0.0122738393529446,0.0187201540526073,56.274338644824255,4.373410015106201,4.097775506973266,4.509791828278399,4.3481800079345705,4.186568187590742,4.177658892552747,5902,0.93,,,71.24,200.0,100.0,100.0,0.0,-100.0,TREND
VOR,100.0,99.62,15.75,15.231828156854428,14.79511838366182,0.436709773192609,0.3817189014229575,0.0549908717696514,65.38461656024944,14.11552598953247,12.813903999328613,15.916961924272773,14.990254974365234,14.063548024457695,11.666286478061885,100460,1.04,,,100.0,200.0,100.0,81.46,0.0,-100.0,TREND
DGII,100.0,99.62,44.08000183105469,43.52173884573896,43.14610889430359,0.3756299514353713,0.3067525428566551,0.0688774085787162,67.0426232893607,42.46992805480957,44.112765064239504,44.43219492614518,43.21550006866456,41.99880521118394,44.15482011931727,52115,2.57,ENTRY_LONG_BREAKOUT,,87.06,200.0,100.0,28.08,0.0,-100.0,TREND
SND,100.0,99.62,3.900000095367432,3.853165803356573,3.854082544769514,-0.0009167414129409,-0.0116703130179768,0.0107535716050363,58.79692708417674,3.8565000009536745,3.87129500746727,3.970969077374397,3.846720016002655,3.722470954630913,3.858955290741201,32385,1.7,ENTRY_LONG_BREAKOUT,,-2.38,200.0,100.0,100.0,0.0,-100.0,RANGE
RIOT,100.0,99.62,19.229999542236328,18.223969834896824,17.555543785514033,0.6684260493827914,0.5339736877484561,0.1344523616343352,68.62934547752201,16.569499988555908,14.831366481781004,19.360097828232927,17.74443998336792,16.12878213850291,15.304490584226157,6110536,2.16,,,100.0,200.0,100.0,-100.0,0.0,-100.0,TREND
SBET,100.0,99.62,11.020000457763672,10.7738740808482,10.67066506811353,0.1032090127346698,0.0952094250007658,0.0079995877339039,53.28669894535295,10.473212032318116,10.1302330160141,11.056721210687876,10.757700109481812,10.458679008275746,10.120030684639069,648163,1.01,,,96.72,200.0,100.0,80.86,0.0,-100.0,TREND
SCWO,100.0,99.62,2.6700000762939453,2.588560307217993,2.5786699443085848,0.0098903629094082,-0.0002283418731164,0.0101187047825251,60.83815855388777,2.565071997642517,2.488077493906021,2.6717911853876752,2.573544991016388,2.475298796645101,2.44057500875666,20778,2.59,ENTRY_LONG_BREAKOUT,,38.35,200.0,100.0,100.0,0.0,-100.0,TREND
PSNY,100.0,99.62,22.43000030517578,21.988852102785813,21.66517790955257,0.323674193233245,0.3173704475133023,0.0063037457199426,58.90586143234589,21.322789878845214,17.758248453140258,23.322636412332404,21.66447505950928,20.006313706686157,17.36961004524925,58015,4.0,,,100.0,200.0,100.0,-100.0,0.0,-100.0,TREND
TNGX,100.0,99.62,13.0,12.472642233819965,11.992988552453824,0.4796536813661411,0.4083167532814962,0.0713369280846414,61.23187717232922,11.440069961547852,9.64331548690796,13.263202014215356,12.200499963760375,11.137797913305397,10.251081482768903,841820,1.69,ENTRY_LONG_BREAKOUT,,100.0,200.0,100.0,44.44,-56.16,-100.0,TREND
FLWS,100.0,99.62,4.760000228881836,4.680558323855741,4.608918022900943,0.0716403009547974,0.0623591157323655,0.0092811852224327,66.28837722045449,4.520506029129028,4.2273220181465145,4.856410627191703,4.613795042037964,4.371179456884225,4.381767619636261,71112,1.55,,,100.0,200.0,79.02,-15.03,0.0,-100.0,TREND
FORM,100.0,99.62,78.33999633789062,76.65367886674939,74.77853099068703,1.875147876062357,1.834238095479701,0.0409097805826559,76.89038235787899,71.31999816894532,61.281043434143065,79.80229078651445,75.29375,70.78520921348556,63.64509099284855,211960,1.65,,,100.0,200.0,100.0,-54.37,0.0,-100.0,TREND
TATT,100.0,99.62,52.34000015258789,51.83858450201748,51.83696081935543,0.0016236826620499,-0.0174849314780356,0.0191086141400855,56.28019390441335,51.86779975891113,45.00661338806152,52.546983928767744,51.78724994659424,51.02751596442073,45.82181569320508,20860,1.73,ENTRY_LONG_MOMENTUM,,0.31,200.0,100.0,100.0,0.0,100.0,TREND
TSAT,100.0,99.62,35.619998931884766,34.55890708905797,33.935330383968335,0.6235767050896328,0.480163521470755,0.1434131836188778,72.50710531836096,33.0043758392334,30.88023099899292,35.45364754208875,34.07650489807129,32.69936225405383,31.155008914826468,14828,1.59,ENTRY_LONG_BREAKOUT,,100.0,200.0,100.0,100.0,0.0,-100.0,TREND
RGLD,100.0,99.62,265.2200012207031,260.5717573961876,257.1901190268473,3.381638369340294,2.952400288641206,0.4292380806990881,72.34611622693397,252.1190951538086,229.527098236084,265.2031120748834,258.0388984680176,250.87468486115176,229.78756253976903,132321,2.09,ENTRY_LONG_BREAKOUT,,100.0,200.0,100.0,19.74,0.0,-100.0,TREND
SRTS,100.0,99.62,5.289999961853027,5.124192770270879,5.036409418649343,0.0877833516215362,0.0733265735660592,0.0144567780554769,66.40211039509862,4.868255977630615,4.154944496154785,5.278835221244264,5.044109988212585,4.809384755180907,4.307106748056209,26347,2.77,ENTRY_LONG_BREAKOUT,,100.0,200.0,73.57,100.0,0.0,-100.0,TREND
WING,100.0,99.62,276.1600036621094,274.8612217450432,273.8613391781557,0.9998825668875496,0.680435109686397,0.3194474572011526,53.48078091062917,272.88023071289064,255.85835830688475,278.8789975862544,273.1521270751953,267.42525656413625,255.2861026600916,141737,2.71,ENTRY_LONG_BREAKOUT,,36.51,200.0,100.0,100.0,0.0,-100.0,TREND
ECX,100.0,99.62,1.914999961853028,1.875140810951576,1.8563920921053063,0.0187487188462696,0.0143442614189138,0.0044044574273554,58.97435897435914,1.8417919921875,1.7560029953718186,1.924103474412181,1.862000000476837,1.7998965265414928,1.8075618058449363,586094,1.03,,,100.0,165.77,100.0,100.0,0.0,-100.0,TREND
ACET,99.6,99.2,8.279999732971191,8.132978089903508,8.110029806272053,0.0229482836314556,0.010832380765332,0.0121159028661235,50.0,8.067990016937255,8.125632991790772,8.418620086708032,8.153680062294006,7.888740037879981,8.126433108526324,34847,2.69,ENTRY_LONG_BREAKOUT,,28.3,200.0,100.0,82.18,0.0,-100.0,RANGE
USAR,99.32,99.16,17.68000030517578,17.369840615876118,17.258032025293225,0.1118085905828927,0.0765133587655113,0.0352952318173813,43.50336576299,17.16813591003418,15.669141483306884,18.21570698278586,17.346969890594483,16.478232798403106,16.127738998832296,826756,0.74,,,64.79,200.0,100.0,100.0,0.0,-100.0,TREND
FDIG,97.39,99.13,44.959999084472656,44.449726276226855,44.13673404473804,0.3129922314888134,0.2589357945366108,0.0540564369522025,57.22878808379466,43.655551986694334,42.12213994979859,45.14989939570014,44.253919792175296,43.35794018865045,41.87023070591195,4849,0.92,,,70.91,200.0,100.0,48.15,0.0,-100.0,TREND
MRNA,73.28,96.54,41.83000183105469,41.05197048712301,39.95452958557173,1.0974409015512805,1.187652999773814,-0.0902120982225336,57.7651819834331,37.584770126342775,32.62549503326416,42.25310081340078,40.71652526855469,39.1799497237086,33.123215155925,789804,0.71,ENTRY_LONG_MOMENTUM,,100.0,0.0,100.0,100.0,0.0,100.0,TREND
INTC,49.48,91.4,46.95000076293945,47.58198316335356,47.3153367212929,0.2666464420606615,0.6188964496479596,-0.3522500075873052,33.23926994674798,45.96694610595703,40.29546733856201,49.5682595304642,48.09503498077392,46.62181043108363,42.03199695699455,8638892,0.78,ENTRY_LONG_MOMENTUM,,56.36,0.0,100.0,100.0,0.0,100.0,TREND
RKLB,35.32,84.51,96.18499755859376,94.75314659106496,92.03166622455264,2.721480366512324,2.286402413894284,0.4350779526180406,61.67059744482701,88.4803077697754,71.45083242416382,99.63799839029517,92.39182014465332,85.1456418990115,72.10622195034446,1535567,0.48,,,100.0,0.0,100.0,-100.0,0.0,100.0,TREND
ATLX,22.32,75.05,5.650000095367432,5.63991308265253,5.6224096401435455,0.0175034425089846,0.0561720082565053,-0.0386685657475207,40.088312418176535,5.481844024658203,4.704841016530991,6.044435852570316,5.716375017166138,5.38831418176196,4.712933809887851,68795,1.18,,,31.13,0.0,-100.0,55.78,0.0,18.66,TREND
ALGM,4.77,57.45,33.36000061035156,33.24366253431263,32.65165703100708,0.5920055033055434,0.61931360822856,-0.0273081049230166,63.33334241596072,31.71012229919433,28.689366064071656,34.007195749724985,33.02211074829101,32.03702574685704,28.92113842912002,461895,1.52,,,100.0,-200.0,100.0,100.0,-66.67,100.0,TREND
PFE,1.98,54.7,25.665000915527344,25.659239165028325,25.569453292292685,0.0897858727356393,0.0998117026647268,-0.0100258299290875,53.0535018010594,25.422952117919923,25.3971518611908,25.921047347224587,25.63801517486572,25.354983002506856,25.43380932073204,6873039,1.07,,,35.11,-200.0,100.0,91.46,-15.27,100.0,RANGE
AMC,-0.7,51.9,1.6089999675750732,1.6167202937101188,1.6150340312766216,0.0016862624334972,0.0023477910774241,-0.0006615286439269,63.55603300736711,1.6016180062294003,1.7928220027685164,1.6598869290632716,1.6060650050640106,1.5522430810647496,1.741906394657178,2718305,0.64,,,10.44,-47.59,100.0,100.0,0.0,46.05,TREND
NVDA,-11.88,37.41,186.22999572753903,187.1584151776269,186.53538176879937,0.6230334088275242,0.6056370497724042,0.0173963590550916,63.78372731121762,185.629358215332,184.0329712677002,191.50601230625085,186.13110580444337,180.75619930263588,183.89591768058125,11380197,0.77,,,33.4,0.0,100.0,-100.0,-68.92,100.0,RANGE
TSEM,-12.33,36.88,129.8300018310547,128.05070288517862,126.16870498855748,1.881997896621144,1.6359273954666425,0.2460705011545154,69.51655370253496,122.58590164184572,120.53460300445556,132.03103986058886,126.26224403381347,120.49344820703809,120.29808690309494,196341,1.61,,EXIT_MOMENTUM_FAIL,100.0,0.0,-100.0,-38.84,-97.58,-100.0,RANGE
AMD,-13.68,35.35,231.8000030517578,231.22000303116047,227.3949989052844,3.825004125876063,4.471889534352043,-0.6468854084759506,61.86644445213183,218.05802276611328,215.38205070495604,241.0214212948668,229.862028503418,218.7026357119692,216.7218011399481,2062199,0.48,,,100.0,-200.0,100.0,-38.38,0.0,100.0,RANGE
AMSC,-14.79,34.48,32.18000030517578,31.87699894051606,31.52093436558189,0.3560645749341695,0.2860059425882171,0.0700586323459488,63.88550635771918,31.025056037902832,31.15600305557251,32.86284959702878,31.443610095977785,30.0243705949268,31.206429860191243,221150,3.32,,EXIT_MOMENTUM_FAIL,100.0,0.0,100.0,-78.65,0.0,-100.0,RANGE
ON,-22.32,25.13,60.31999969482422,60.96805374902326,60.81238176340658,0.155671985616685,0.221823230124331,-0.0661512445076531,47.77686633443529,60.68665016174317,57.03076002120972,61.95861842367087,60.99250030517578,60.02638218668069,57.3416271457648,751204,1.49,,,25.6,-200.0,100.0,100.0,0.0,100.0,TREND
PL,-22.9,24.53,28.76499938964844,28.85586988555332,27.744674496645143,1.111195388908179,1.1991284326775118,-0.0879330437693364,63.74115521719634,25.71328414916992,20.064237580299377,31.005023666851518,28.15108518600464,25.297146705157765,20.2888507694449,2025479,0.85,,,100.0,-200.0,100.0,-100.0,-68.71,100.0,TREND
