Ticker,Score,Close,RSI,EMA_Score,MACD_Score,OBV_Score,Pred_Breakout,Pred_Reversal,Pred_EMA_Cross,Volume_Spike,Regime,Percentile,Entry_Tag,Exit_Tag
LEU,100.0,331.1300048828125,65.0,100.0,200.0,100.0,52.53,0.0,-100.0,0.97,TREND,99.62,,
QUIK,100.0,8.430000305175781,69.55,100.0,169.87,100.0,50.17,0.0,-100.0,2.01,TREND,99.62,ENTRY_LONG_BREAKOUT,
AMRX,100.0,13.399999618530272,58.97,54.99,200.0,100.0,100.0,0.0,-100.0,3.64,TREND,99.62,ENTRY_LONG_BREAKOUT,
DTI,100.0,3.470000028610229,56.8,100.0,200.0,100.0,62.71,0.0,-100.0,1.28,TREND,99.62,,
STTK,100.0,4.639999866485596,45.21,26.65,200.0,100.0,100.0,0.0,-100.0,3.15,TREND,99.62,ENTRY_LONG_BREAKOUT,
NERV,100.0,4.497000217437744,56.27,71.24,200.0,100.0,100.0,0.0,-100.0,0.93,TREND,99.62,,
VOR,100.0,15.75,65.38,100.0,200.0,100.0,81.46,0.0,-100.0,1.04,TREND,99.62,,
DGII,100.0,44.08000183105469,67.04,87.06,200.0,100.0,28.08,0.0,-100.0,2.57,TREND,99.62,ENTRY_LONG_BREAKOUT,
SND,100.0,3.900000095367432,58.8,-2.38,200.0,100.0,100.0,0.0,-100.0,1.7,RANGE,99.62,ENTRY_LONG_BREAKOUT,
RIOT,100.0,19.229999542236328,68.63,100.0,200.0,100.0,-100.0,0.0,-100.0,2.16,TREND,99.62,,
SBET,100.0,11.020000457763672,53.29,96.72,200.0,100.0,80.86,0.0,-100.0,1.01,TREND,99.62,,
SCWO,100.0,2.6700000762939453,60.84,38.35,200.0,100.0,100.0,0.0,-100.0,2.59,TREND,99.62,ENTRY_LONG_BREAKOUT,
PSNY,100.0,22.43000030517578,58.91,100.0,200.0,100.0,-100.0,0.0,-100.0,4.0,TREND,99.62,,
TNGX,100.0,13.0,61.23,100.0,200.0,100.0,44.44,-56.16,-100.0,1.69,TREND,99.62,ENTRY_LONG_BREAKOUT,
FLWS,100.0,4.760000228881836,66.29,100.0,200.0,79.02,-15.03,0.0,-100.0,1.55,TREND,99.62,,
FORM,100.0,78.33999633789062,76.89,100.0,200.0,100.0,-54.37,0.0,-100.0,1.65,TREND,99.62,,
TATT,100.0,52.34000015258789,56.28,0.31,200.0,100.0,100.0,0.0,100.0,1.73,TREND,99.62,ENTRY_LONG_MOMENTUM,
TSAT,100.0,35.619998931884766,72.51,100.0,200.0,100.0,100.0,0.0,-100.0,1.59,TREND,99.62,ENTRY_LONG_BREAKOUT,
RGLD,100.0,265.2200012207031,72.35,100.0,200.0,100.0,19.74,0.0,-100.0,2.09,TREND,99.62,ENTRY_LONG_BREAKOUT,
SRTS,100.0,5.289999961853027,66.4,100.0,200.0,73.57,100.0,0.0,-100.0,2.77,TREND,99.62,ENTRY_LONG_BREAKOUT,
WING,100.0,276.1600036621094,53.48,36.51,200.0,100.0,100.0,0.0,-100.0,2.71,TREND,99.62,ENTRY_LONG_BREAKOUT,
ECX,100.0,1.914999961853028,58.97,100.0,165.77,100.0,100.0,0.0,-100.0,1.03,TREND,99.62,,
ACET,99.6,8.279999732971191,50.0,28.3,200.0,100.0,82.18,0.0,-100.0,2.69,RANGE,99.2,ENTRY_LONG_BREAKOUT,
USAR,99.32,17.68000030517578,43.5,64.79,200.0,100.0,100.0,0.0,-100.0,0.74,TREND,99.16,,
FDIG,97.39,44.959999084472656,57.23,70.91,200.0,100.0,48.15,0.0,-100.0,0.92,TREND,99.13,,
MRNA,73.28,41.83000183105469,57.77,100.0,0.0,100.0,100.0,0.0,100.0,0.71,TREND,96.54,ENTRY_LONG_MOMENTUM,
INTC,49.48,46.95000076293945,33.24,56.36,0.0,100.0,100.0,0.0,100.0,0.78,TREND,91.4,ENTRY_LONG_MOMENTUM,
RKLB,35.32,96.18499755859376,61.67,100.0,0.0,100.0,-100.0,0.0,100.0,0.48,TREND,84.51,,
ATLX,22.32,5.650000095367432,40.09,31.13,0.0,-100.0,55.78,0.0,18.66,1.18,TREND,75.05,,
ALGM,4.77,33.36000061035156,63.33,100.0,-200.0,100.0,100.0,-66.67,100.0,1.52,TREND,57.45,,
PFE,1.98,25.665000915527344,53.05,35.11,-200.0,100.0,91.46,-15.27,100.0,1.07,RANGE,54.7,,
AMC,-0.7,1.6089999675750732,63.56,10.44,-47.59,100.0,100.0,0.0,46.05,0.64,TREND,51.9,,
NVDA,-11.88,186.22999572753903,63.78,33.4,0.0,100.0,-100.0,-68.92,100.0,0.77,RANGE,37.41,,
TSEM,-12.33,129.8300018310547,69.52,100.0,0.0,-100.0,-38.84,-97.58,-100.0,1.61,RANGE,36.88,,EXIT_MOMENTUM_FAIL
